Clave CT,Nombre CT,Clave Turno,Descripción Turno,Zona Escolar,Descripción Mpio.,Descripción Cat. Pob.,Longitud,Latitud,Docentes,Nivel,Modalidad
11DPR3257W,RAFAEL RAMIREZ,1,Matutino,152,Guanajuato,R Rural,-101.26134,21.08296,0,PRIMARIA,General Federal
11DPR3358U,BENITO JUAREZ GARCIA,1,Matutino,95,Yuriria,R Rural,-101.26151,20.27305,0,PRIMARIA,General Federal
11DPR0655Z,GENERAL FRANCISCO VILLA,1,Matutino,19,Salamanca,R Rural,-101.26192,20.68333,12,PRIMARIA,General Federal
11DPR2701I,GENERAL LAZARO CARDENAS,2,Vespertino,19,Salamanca,R Rural,-101.26192,20.68333,12,PRIMARIA,General Federal
11DPR1890K,NIÑOS HEROES,1,Matutino,48,Irapuato,R Rural,-101.26208,20.70908,6,PRIMARIA,General Federal
11DPR0209S,VASCO DE QUIROGA,1,Matutino,107,San Felipe,R Rural,-101.2624,21.56998,6,PRIMARIA,General Federal
11DPR2065Z,ELISA BAZ DE ARMIDA,1,Matutino,131,Guanajuato,U Urbana,-101.262876,21.014237,6,PRIMARIA,General Federal
11DPR0516Z,IGNACIO ZARAGOZA,1,Matutino,95,Yuriria,R Rural,-101.26325,20.27238,0,PRIMARIA,General Federal
11DPR1758C,22 DE ABRIL,1,Matutino,131,Guanajuato,U Urbana,-101.26435,21.02247,12,PRIMARIA,General Federal
11DPR3513W,LUIS FERNANDEZ MARTINEZ,1,Matutino,91,San Felipe,R Rural,-101.26498,21.34838,1,PRIMARIA,General Federal
11DPR1155L,BENITO JUAREZ,1,Matutino,97,Irapuato,R Rural,-101.26689,20.80614,2,PRIMARIA,General Federal
11DPR0412D,GRACIANO SANCHEZ,1,Matutino,114,Irapuato,R Rural,-101.26772,20.73667,2,PRIMARIA,General Federal
11DPR0533P,IGNACIO M. ALTAMIRANO,1,Matutino,95,Yuriria,R Rural,-101.268923,20.235092,4,PRIMARIA,General Federal
11DPR3207O,ALVARO OBREGON,1,Matutino,1,Guanajuato,R Rural,-101.2695,20.95187,3,PRIMARIA,General Federal
11DPR1827I,INSURGENTE PIPILA,1,Matutino,131,Guanajuato,U Urbana,-101.27004,21.02074,12,PRIMARIA,General Federal
11DPR2234E,GREGORIO TORRES QUINTERO,2,Vespertino,131,Guanajuato,U Urbana,-101.27004,21.02074,6,PRIMARIA,General Federal
11DPR1657E,ALBERTO TERAN,1,Matutino,1,Guanajuato,R Rural,-101.27238,20.91874,2,PRIMARIA,General Federal
11DPR1083I,BENITO JUAREZ,1,Matutino,1,Guanajuato,R Rural,-101.273,20.85567,7,PRIMARIA,General Federal
11DPR1966J,LIC. LUIS ECHEVERRIA ALVAREZ,1,Matutino,91,San Felipe,R Rural,-101.27309,21.39516,0,PRIMARIA,General Federal
11DPR2111V,PRESA DE LA SOLEDAD,1,Matutino,131,Guanajuato,R Rural,-101.273178,21.054479,6,PRIMARIA,General Federal
11DPR0888P,PEDRO MORENO,1,Matutino,156,San Felipe,R Rural,-101.27405,21.31219,1,PRIMARIA,General Federal
11DPR1376W,GENERAL LAZARO CARDENAS DEL RIO,1,Matutino,182,Valle de Santiago,R Rural,-101.274356,20.345519,0,PRIMARIA,General Federal
11DPR3210B,LAZARO CARDENAS,1,Matutino,91,San Felipe,R Rural,-101.2747,21.44965,2,PRIMARIA,General Federal
11DPR0887Q,JOSEFA ORTIZ DE DOMINGUEZ,1,Matutino,156,San Felipe,R Rural,-101.27496,21.27629,0,PRIMARIA,General Federal
11DPR0086Z,NARCISO MENDOZA,2,Vespertino,1,Guanajuato,U Urbana,-101.27507,20.97051,8,PRIMARIA,General Federal
11DPR1551L,VICENTE GUERRERO,1,Matutino,1,Guanajuato,U Urbana,-101.27507,20.97051,12,PRIMARIA,General Federal
